"geoId","state","town","lat","lng","primary"
"5221637","RI","Coventry","41.691631250000015","-71.57928124999992","1"
"5221659","RI","Cranston","41.772251785714325","-71.4608642857143","1"
"5221703","RI","Cumberland","41.948400000000014","-71.41539999999996","1"
"5221875","RI","East Greenwich","41.649799999999985","-71.47400000000002","1"
"5221931","RI","East Providence","41.81379999999997","-71.36880000000004","0"
"5222019","RI","Exeter","41.574","-71.6076","1"
"5222169","RI","Foster","41.7815","-71.7187","1"
"5222476","RI","Greenville","41.87339999999999","-71.55690000000001","1"
"5222569","RI","Harrisville","41.976400000000005","-71.65340000000002","1"
"5222656","RI","Hope","41.7516","-71.5612","1"
"5222665","RI","Hope Valley","41.5096","-71.7339","1"
"5222866","RI","Jamestown","41.51639999999999","-71.37609999999998","1"
"5223006","RI","Kingston","41.4803","-71.5292","1"
"5223129","RI","Little Compton","41.522","-71.1612","1"
"5223241","RI","Manville","41.9689","-71.4741","1"
"5223358","RI","Middletown","41.51980000000001","-71.27309999999994","1"
"5223505","RI","Narragansett","41.43529999999999","-71.4616","1"
"5223593","RI","Newport","41.48784255319146","-71.32650212765955","1"
"5223672","RI","North Kingstown","41.58940000000002","-71.46250000000005","1"
"5223681","RI","North Providence","41.854699999999994","-71.47350000000003","0"
"5223685","RI","North Scituate","41.8439","-71.62419999999999","1"
"5223687","RI","North Smithfield","41.9724","-71.5508","0"
"5223854","RI","Pascoag","41.96269999999999","-71.70990000000003","1"
"5223869","RI","Pawtucket","41.8758336283186","-71.37872389380522","1"
"5223900","RI","Peace Dale","41.4512","-71.4987","1"
"5224082","RI","Portsmouth","41.594399999999986","-71.25199999999998","1"
"5224151","RI","Providence","41.82973700305804","-71.4231773700303","1"
"5224353","RI","Riverside","41.7723","-71.3542","1"
"5224458","RI","Rumford","41.842499999999994","-71.3559","1"
"5224790","RI","Saunderstown","41.5105","-71.4427","1"
"5224949","RI","Smithfield","41.896399999999986","-71.52070000000002","1"
"5225245","RI","Tiverton","41.63379999999999","-71.18080000000003","1"
"5225455","RI","Wakefield","41.443699999999964","-71.53420000000004","1"
"5225502","RI","Warren","41.72559999999999","-71.2702","1"
"5225507","RI","Warwick","41.71536202531645","-71.41743607594931","1"
"5225614","RI","West Kingston","41.5058","-71.6211","1"
"5225627","RI","West Warwick","41.70039999999996","-71.51830000000004","1"
"5225631","RI","Westerly","41.36909999999994","-71.81260000000009","1"
"5225802","RI","Wood River Junction","41.45","-71.7074","1"
"5225809","RI","Woonsocket","41.98459999999989","-71.51940000000008","1"
"5225829","RI","Wyoming","41.5041","-71.663","1"
"5280975","MA","Three Rivers","42.1819","-72.3624","1"
"5281020","MA","Groton","42.61239999999999","-71.55839999999995","1"
"5281031","MA","Sheffield","42.1001","-73.3611","1"
"6944260","RI","Block Island","41.1715","-71.5748","1"
"7257618","NH","Hillsborough","43.1141","-71.8992","1"
"8260172","RI","West Greenwich","41.63999999999999","-71.6435","1"
"8531960","RI","Lincoln","41.90890000000001","-71.4348","1"
"8604682","RI","Johnston","41.82739999999998","-71.52","1"
